ville,latitude,longitude
Paris,48.8566,2.3522
Londres,51.5074,-0.1278
Berlin,52.52,13.405
Madrid,40.4168,-3.7038
Rome,41.9028,12.4964
Vienne,48.2082,16.3738
Varsovie,52.2297,21.0122
Budapest,47.4979,19.0402
Prague,50.0755,14.4378
Amsterdam,52.3676,4.9041
Bruxelles,50.8503,4.3517
Lisbonne,38.7169,-9.1399
Copenhague,55.6761,12.5683
Oslo,59.9139,10.7522
Stockholm,59.3293,18.0686
Helsinki,60.1695,24.9354
Athènes,37.9838,23.7275
Istanbul,41.0082,28.9784
Moscou,55.7558,37.6173
Kiev,50.4501,30.5234
